127.0.0.1 - - [06/Oct/2022:18:08:50 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:50 -0300] "GET /HelloJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:50 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/index.html HTTP/1.1" 200 5233
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/css/global.css HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/images/hotel.png HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/images/local.png HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/images/idea.png HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/images/bh.png HTTP/1.1" 200 369131
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/images/sp.png HTTP/1.1" 200 280727
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/images/Global.svg HTTP/1.1" 200 55094
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /HelloJSP/images/alagoas.png HTTP/1.1" 200 216857
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:08:59 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:09:08 -0300] "GET /HelloJSP/detalhes-saopaulo.html HTTP/1.1" 200 12155
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:09:08 -0300] "GET /HelloJSP/css/sao-paulo.css HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:09:08 -0300] "GET /HelloJSP/images/saopaulo/sp3.png HTTP/1.1" 200 1983553
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:09:08 -0300] "GET /HelloJSP/images/arrow.png HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:09:08 -0300] "GET /HelloJSP/images/saopaulo/sp1.png HTTP/1.1" 200 3108463
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:09:08 -0300] "GET /HelloJSP/images/saopaulo/sp2.png HTTP/1.1" 200 1902007
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:09:08 -0300] "GET /HelloJSP/js/api-temperatura.js HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:10:35 -0300] "GET /HelloJSP/detalhes-saopaulo.html HTTP/1.1" 200 12151
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:11:10 -0300] "GET /HelloJSP/detalhes-saopaulo.html HTTP/1.1" 200 13162
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:11:21 -0300] "GET /HelloJSP/detalhes-saopaulo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:11:31 -0300] "GET /HelloJSP/detalhes-saopaulo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:11:58 -0300] "GET /HelloJSP/detalhes-saopaulo.html HTTP/1.1" 200 13736
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:12:29 -0300] "GET /HelloJSP/detalhes-saopaulo.html HTTP/1.1" 200 13734
